id,year,month,unit,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,recovery_cases,total_cases
1,2026,January,DMP,4,29,21,4,1,108,14,5,42,101,401,622,1352
2,2026,January,CMP,0,6,6,6,0,39,2,1,14,33,118,197,422
3,2026,January,KMP,0,4,1,2,0,7,1,0,0,17,25,58,115
4,2026,January,RMP,0,2,2,0,0,7,1,1,2,7,40,105,167
5,2026,January,BMP,1,0,1,0,0,18,5,0,3,4,43,34,109
6,2026,January,SMP,1,2,1,8,0,7,0,3,0,7,41,82,152
7,2026,January,RPMP,0,0,2,0,0,7,0,2,1,2,23,36,73
8,2026,January,GMP,3,9,0,1,0,26,8,2,5,15,67,124,260
9,2026,January,"Dhaka Range",12,42,73,7,0,252,10,11,42,123,1065,1171,2808
10,2026,January,"Mymensingh Range",0,6,17,4,0,69,1,4,4,49,367,290,811
11,2026,January,"Chittagong Range",14,19,56,9,0,165,23,3,60,134,972,934,2389
12,2026,January,"Sylhet Range",3,7,11,3,0,46,2,1,0,51,362,231,717
13,2026,January,"Khulna Range",1,9,35,7,0,108,6,2,28,83,462,510,1251
14,2026,January,"Barishal Range",3,4,20,3,0,113,2,0,16,32,407,216,816
15,2026,January,"Rajshahi Range",8,15,24,1,0,142,4,3,7,85,553,488,1330
16,2026,January,"Rangpur Range",2,7,15,1,0,167,7,4,12,72,631,302,1220
17,2026,January,"Railway Range",0,2,2,1,0,0,1,0,0,13,12,35,66
18,2026,February,DMP,3,22,16,4,0,96,12,8,42,84,364,390,1041
19,2026,February,CMP,0,10,4,5,0,30,4,2,4,17,124,140,340
20,2026,February,KMP,1,3,4,0,0,9,1,0,3,12,26,32,91
21,2026,February,RMP,0,3,4,0,0,12,0,0,2,4,29,36,90
22,2026,February,BMP,1,1,1,2,0,18,6,0,5,6,44,22,106
23,2026,February,SMP,0,4,1,1,0,5,0,2,5,11,37,57,123
24,2026,February,RPMP,0,0,0,0,0,6,0,1,2,4,17,27,57
25,2026,February,GMP,1,2,2,3,0,28,3,3,0,12,71,88,213
26,2026,February,"Dhaka Range",12,30,57,2,0,240,7,8,31,96,1090,798,2371
27,2026,February,"Mymensingh Range",3,1,15,3,0,58,6,2,6,23,363,231,711
28,2026,February,"Chittagong Range",14,23,54,11,0,171,12,6,45,107,889,652,1984
29,2026,February,"Sylhet Range",1,2,20,2,0,40,1,1,4,34,316,155,576
30,2026,February,"Khulna Range",2,7,26,7,1,95,1,4,14,67,494,335,1053
31,2026,February,"Barishal Range",2,2,9,7,0,108,0,2,12,29,423,181,775
32,2026,February,"Rajshahi Range",2,14,22,1,0,140,1,1,2,60,594,309,1146
33,2026,February,"Rangpur Range",0,6,15,0,0,125,10,2,10,57,616,213,1054
34,2026,February,"Railway Range",0,4,0,0,0,0,0,0,0,11,7,22,44
35,2026,March,DMP,5,25,24,7,0,111,20,7,62,99,472,473,1305
36,2026,March,CMP,1,4,3,7,0,29,0,5,13,22,129,195,408
37,2026,March,KMP,0,0,4,0,0,8,2,2,0,16,28,45,105
38,2026,March,RMP,0,1,1,0,0,10,3,1,4,11,47,54,132
39,2026,March,BMP,0,0,1,3,0,9,3,0,3,11,60,41,131
40,2026,March,SMP,0,3,3,5,0,4,2,3,0,19,46,85,170
41,2026,March,RPMP,0,2,3,2,0,3,1,0,1,10,46,44,112
42,2026,March,GMP,1,5,5,3,0,24,9,4,2,9,103,142,307
43,2026,March,"Dhaka Range",13,23,71,10,0,258,12,9,41,150,1384,1227,3198
44,2026,March,"Mymensingh Range",0,6,20,4,0,87,4,2,8,37,475,303,946
45,2026,March,"Chittagong Range",12,22,61,17,0,210,26,5,67,132,1231,854,2637
46,2026,March,"Sylhet Range",1,6,17,6,0,80,0,3,9,49,480,242,893
47,2026,March,"Khulna Range",2,14,31,17,0,137,6,7,24,95,699,505,1537
48,2026,March,"Barishal Range",1,5,17,5,0,151,1,2,30,49,532,257,1050
49,2026,March,"Rajshahi Range",2,17,41,4,0,185,3,6,7,60,855,492,1672
50,2026,March,"Rangpur Range",1,7,15,1,0,179,10,7,13,75,770,407,1485
51,2026,March,"Railway Range",0,2,0,0,0,0,0,0,1,12,11,43,69
52,2026,April,DMP,3,25,17,8,0,168,21,3,44,100,506,593,1488
53,2026,April,CMP,3,9,4,5,0,51,3,0,15,25,153,253,521
54,2026,April,KMP,0,2,2,0,0,5,2,0,6,12,35,50,114
55,2026,April,RMP,0,3,0,0,2,23,2,0,2,8,54,74,168
56,2026,April,BMP,0,1,2,1,0,18,6,1,4,10,59,52,154
57,2026,April,SMP,0,1,3,6,0,5,1,3,4,18,49,83,173
58,2026,April,RPMP,0,1,1,2,0,7,0,0,2,10,37,64,124
59,2026,April,GMP,0,3,5,3,0,34,6,3,3,20,106,172,355
60,2026,April,"Dhaka Range",21,36,64,8,1,375,15,22,39,132,1433,1348,3494
61,2026,April,"Mymensingh Range",0,6,17,7,0,108,3,6,7,48,394,342,938
62,2026,April,"Chittagong Range",10,22,54,9,0,285,18,9,71,105,1346,969,2898
63,2026,April,"Sylhet Range",4,7,24,3,0,78,1,1,4,45,400,240,807
64,2026,April,"Khulna Range",3,12,24,15,0,163,5,5,25,72,687,500,1511
